has_profile_pic,has_header_pic,bio_length,account_age_days,follower_count,following_count,tweet_count,retweet_ratio,likes_count,lists_count,is_verified,is_default_profile,has_url,avg_tweets_per_day,Label
0,0,18,316,98,4105,10,0.9715896997031546,18,0,0,1,1,0.6786456713114222,1
1,1,134,3119,711,442,2829,0.49436906358800714,3787,12,0,1,1,7.937599203775452,0
0,0,43,228,38,4099,21,0.8179585603083767,7,0,0,1,0,1.5076594011384372,1
1,0,20,21,98,2048,48,0.7334536636963829,9,0,0,0,1,0.029386777309907686,1
1,1,52,2070,4044,5359,1836,0.1770764378771872,4001,13,0,0,1,16.638400096308487,0
1,0,116,1658,3525,3463,8315,0.4322543058744357,360,12,0,0,1,1.3469504660949305,0
1,0,29,293,8,3842,2,0.7589460900868633,16,1,0,0,0,1.11948932266735,1
1,1,27,2273,155,128,2149,0.3827162017587258,1324,17,0,0,1,6.946715794415036,0
1,1,90,3424,1228,1459,8358,0.365920017546834,1827,6,0,0,1,2.337686834306325,0
1,1,50,2497,2241,2563,6937,0.23144173579193708,4972,8,0,0,1,14.231423345796452,0
1,1,69,3237,1015,1608,9504,0.18685616161506877,3304,3,0,1,1,18.70082223326839,0
1,1,39,247,3,3886,28,0.9451384426046755,0,0,0,1,0,0.6176688480146817,1
1,1,109,2388,232,337,7946,0.17960707680599486,591,17,0,1,1,14.924211121732451,0
1,1,44,2021,7472,3075,9341,0.2941162536246862,2834,0,0,0,1,3.5654757293606076,0
1,0,30,154,13,2146,22,0.8535032326346998,14,1,0,0,0,1.0652345329100463,1
0,0,12,21,14,3414,25,0.9147474894046266,15,1,0,0,0,1.9427901880832792,1
0,0,14,122,36,623,36,0.8422019285449467,5,1,0,1,0,0.17640340757974138,1
0,0,42,143,91,3274,21,0.7984458002424195,16,1,0,0,0,1.0741648543933109,1
0,1,3,55,39,3208,46,0.7164284916466094,8,1,0,1,0,0.6669983433822884,1
0,0,22,240,28,3456,45,0.7228601138797489,5,1,0,1,0,1.8383531036711191,1
1,0,49,50,10,4063,5,0.7326679941943117,3,0,0,1,0,1.9060400423577983,1
1,1,153,1779,3083,5768,6808,0.12658925208366864,3671,0,0,1,1,15.344871398833044,0
1,0,0,214,6,4144,42,0.8473287188149495,3,1,0,0,1,0.8193421067519853,1
1,1,119,1848,5999,7770,900,0.22390583327407484,2787,19,0,0,1,10.662403657349262,0
1,1,158,2918,5591,8572,8070,0.20246035406949955,2812,2,0,0,1,13.496168823047249,0
1,1,103,886,4912,7296,5523,0.21043443539570494,1575,19,0,0,1,13.599024389310927,0
1,0,36,360,67,3983,10,0.7779714937728498,16,0,0,1,0,0.9399765363158732,1
1,0,63,3527,1109,1951,6848,0.3310943080643368,4599,12,0,0,1,8.787407188187334,0
0,1,0,256,58,1326,30,0.8719669583348775,4,1,0,1,0,0.5052920612425733,1
1,1,42,2541,6813,2438,600,0.2726640856575134,2589,0,0,0,0,5.95222793658007,0
0,1,15,101,7,3771,22,0.9148970164188046,12,0,0,0,0,1.9130027965989602,1
1,1,88,1504,9630,4899,8807,0.20631976877146904,1883,16,0,0,1,3.0203300327899085,0
1,0,11,140,69,3420,19,0.8990087602044043,14,0,0,1,1,0.441017574273296,1
1,1,74,2717,5133,8837,5324,0.23870402876802746,2119,6,0,0,1,8.954129901568512,0
0,0,0,4,94,4485,15,0.9153028473380499,11,1,0,1,0,1.7390673436299595,1
0,0,11,20,93,3190,27,0.8465486897979716,12,0,0,1,1,1.285155220647268,1
1,0,84,1184,820,1085,431,0.2555405985896466,3705,10,0,0,0,10.149154904117694,0
1,0,30,62,56,4789,14,0.8605110196134731,18,0,0,1,0,0.6473584728084874,1
1,1,141,1618,9180,9374,1385,0.48914264188413714,1935,6,0,0,1,19.878575503974666,0
1,1,89,2142,851,1253,449,0.17889706646680673,1179,15,0,0,1,2.235689830472172,0
1,1,119,2664,3982,6201,9392,0.3575082432404979,2270,10,0,0,1,12.432129652962821,0
1,1,73,2924,4779,1284,8580,0.17437345634975382,577,12,0,0,1,16.50124056701007,0
1,1,92,3055,1573,1341,6349,0.3241394697401294,1545,17,0,0,1,11.178513962748069,0
1,1,42,3039,2278,3989,3606,0.33917177072793203,1445,18,0,0,0,15.876760919161002,0
1,1,44,1248,8420,1312,5797,0.4685677339505311,469,11,0,0,1,5.320518437908098,0
1,1,30,207,79,3140,25,0.9088468435413776,11,0,0,1,0,1.592482901082737,1
1,1,125,2039,9700,13565,4187,0.3273888808627279,4069,15,0,0,1,1.6014267680679,0
0,0,0,60,9,4634,27,0.8065959245421663,12,1,0,1,0,1.7964761279064703,1
0,1,0,299,21,4891,25,0.7253696134291713,19,1,0,0,0,1.1935528399233792,1
0,1,27,195,11,694,41,0.9668729854991476,1,0,0,1,0,0.8581247386053319,1
1,0,47,27,91,1178,48,0.8707619389388283,11,1,0,1,1,0.7440871356244148,1
1,1,0,181,23,4399,2,0.7556376624029962,14,0,0,0,0,1.2146128965253424,1
1,0,68,2608,7815,8143,5008,0.2717280171416706,2854,0,0,1,1,6.986628889015846,0
1,0,32,141,26,2267,48,0.7182716629705548,8,1,0,0,0,0.6587585386041515,1
1,0,49,160,89,4172,1,0.8234123714237768,8,1,0,0,0,1.6135151275782522,1
0,0,0,354,40,3280,3,0.8744866878967581,10,1,0,1,0,1.5175525075146503,1
1,1,0,239,40,2488,12,0.8267887591040827,17,1,0,1,1,1.633558933011272,1
1,0,106,1618,1199,1583,409,0.36838988379431403,4002,16,0,0,0,12.164557688069047,0
0,1,61,597,3265,2026,3231,0.21830113384813177,3356,4,0,0,0,3.159236548074438,0
1,0,24,179,38,4624,10,0.7073933213908967,10,0,0,0,0,0.6955648060977744,1
1,1,32,667,6481,4282,7073,0.2879913738631178,882,15,0,0,1,12.795905069741897,0
0,0,18,279,27,1246,46,0.8036874980729204,18,0,0,1,0,1.316204436112984,1
1,1,156,3218,1510,1272,1528,0.43767435832963264,4524,5,0,0,0,13.610791219035864,0
1,1,47,2206,8553,4581,8540,0.3049714205506625,4939,19,0,0,0,14.602974442807923,0
1,0,24,141,21,1800,21,0.8780615707369441,8,0,0,1,0,1.6797226057334407,1
1,1,18,106,20,4659,36,0.9280482789370477,19,0,0,0,0,0.7221494526820744,1
1,0,0,334,17,2251,13,0.9400619043050737,11,1,0,0,1,0.5867068428820197,1
1,1,158,3337,5956,853,6951,0.36884202680550593,3060,9,0,0,0,4.57054470677327,0
1,1,86,1808,6146,11977,8923,0.3958431876000549,1031,15,0,0,1,5.43754589202597,0
1,1,48,2343,2720,2448,6950,0.1124378487772224,918,10,0,0,0,10.289246175795133,0
1,1,151,1006,1946,1350,4829,0.40738711826565355,245,5,0,0,1,4.3493728077455795,0
1,1,99,1053,4349,1561,1259,0.10471195051465682,2603,4,0,0,1,6.5946012186160825,0
1,0,0,172,32,2544,8,0.9728880458309777,3,0,0,1,1,1.1435447040966444,1
0,0,25,126,10,3428,37,0.9541418469081355,7,1,0,1,0,1.1193768896758798,1
1,0,0,70,66,3245,34,0.8282399584500066,19,1,0,1,0,0.013629395800256239,1
0,1,25,360,9,4747,4,0.734439078175384,15,0,0,0,0,1.3270471878269046,1
1,0,2,41,38,4368,40,0.893935027037382,18,0,0,1,0,0.277742652793034,1
1,0,108,3040,5180,4884,9572,0.15419780757153792,4588,7,0,0,1,5.819480907646993,0
1,0,0,255,71,3810,36,0.7535633986163001,0,1,0,0,0,0.48634438199890817,1
0,0,3,220,68,3618,48,0.7934239928173882,19,0,0,1,0,0.9832317502336647,1
1,1,30,1223,7925,5619,7485,0.16821521955929036,4367,16,0,0,1,11.258391254389355,0
1,1,106,1941,5074,4153,4037,0.39216650600789427,832,9,0,0,0,4.66912360792329,0
1,0,121,3267,9039,13491,3818,0.20946655396858307,892,0,0,1,0,0.6972314173862983,0
1,1,24,3030,7091,9593,8152,0.12000890676662315,1906,15,0,0,1,17.25023462512628,0
1,1,88,3550,6246,10486,5385,0.3476485600186785,348,19,0,0,1,15.032208980362604,0
1,0,0,29,84,782,49,0.7640534098932016,18,0,0,1,1,1.0844744109836966,1
1,1,41,1038,8103,10651,7796,0.14640695484920127,4162,9,0,1,0,15.193326071592507,0
0,0,27,123,64,946,34,0.8617573238540899,6,0,0,1,0,0.07989594657218868,1
1,0,54,2426,1023,1318,1520,0.2276299889282905,2822,2,0,0,0,8.31648209524284,0
1,1,11,104,13,4262,37,0.86193431857439,14,0,0,0,1,0.7677824427464228,1
0,0,37,68,89,1625,41,0.9716574376989022,12,1,0,0,0,1.1915014563779134,1
1,1,106,2743,3931,4884,5861,0.37206341870355153,4564,14,1,0,0,11.164867709253315,0
1,1,25,3580,1837,1183,1903,0.20731287821579514,1648,11,0,0,1,14.66842243361584,0
1,1,38,3073,8065,5497,6252,0.1480637034942488,4418,11,0,0,1,10.676314758977487,0
0,0,0,184,75,3858,23,0.8024275808812895,12,0,0,1,0,0.010053105219606229,1
1,1,22,2704,9678,15182,4822,0.43791669514636455,769,3,0,0,0,1.1541444925370774,0
1,0,48,247,7,3712,41,0.843070031940391,3,0,0,0,0,1.5626976812288125,1
1,1,53,809,3310,1022,6795,0.3097797577889008,4434,3,0,0,1,3.3336708985642076,0
1,1,78,1386,2353,1209,7029,0.10212566766194482,1699,1,0,0,1,4.714648340062954,0
1,0,20,61,28,4978,18,0.8326881416353406,9,0,0,1,0,1.1937037537755188,1
1,1,151,1643,6925,8805,6225,0.4444251745918878,1783,10,0,0,0,4.70818289566402,0
1,0,34,3483,8540,10001,7325,0.3082108451236655,4354,18,0,0,0,13.11961144197567,0
0,1,23,66,74,2650,37,0.8851791136291876,1,1,0,1,0,1.1096312170844513,1
1,1,25,944,9815,9734,2076,0.298222276150372,2540,19,0,0,1,4.607318584348868,0
0,0,34,51,54,1767,2,0.9579821220208962,6,0,0,1,0,1.8844035113697055,1
1,1,100,1868,1907,2794,2369,0.4880467545673729,1231,16,0,0,0,5.508185735641112,0
0,0,0,334,98,615,47,0.7489057341444658,2,0,0,0,1,1.949381192097103,1
1,1,79,3426,9017,16229,5925,0.18985551057164365,1377,6,0,0,0,15.018858713539297,0
1,1,36,1676,2900,4155,5502,0.40380805948677767,1139,8,0,0,1,15.629368771454343,0
0,0,0,190,3,1807,31,0.9637990647035422,2,1,0,1,1,0.5246859335618914,1
1,1,85,3129,9949,10763,6456,0.40932346807903885,2017,3,0,0,1,18.235587670678527,0
1,0,0,159,22,903,37,0.7319235288708533,14,1,0,0,1,0.09582773582666748,1
1,0,137,1873,1749,2748,765,0.3248443530492918,2258,13,0,0,1,16.599266785686794,0
1,0,27,115,6,3767,49,0.8886828540339652,3,0,0,1,0,0.35487908755944564,1
1,1,46,160,90,1351,23,0.9031505027148945,2,1,0,0,1,1.6412789514879107,1
0,0,15,154,17,3667,21,0.9120929462367149,17,1,0,0,0,1.4818081123041429,1
1,1,128,3204,3657,6142,462,0.33782004045801795,3901,2,0,0,1,10.836725689831267,0
0,1,0,248,27,1570,38,0.7501396034413663,19,1,0,1,0,0.15415602390292138,1
1,0,41,340,11,4682,47,0.9073167438217785,0,1,0,0,0,0.6842152417271881,1
1,0,0,340,91,1978,43,0.848553073033381,14,0,0,1,0,1.325044568707964,1
1,1,0,295,84,4328,48,0.765552950306239,9,0,0,0,0,1.6333643509014362,1
1,0,149,426,2794,4710,4775,0.2664643785624631,1214,6,1,0,0,1.8663395665631943,0
1,1,123,2233,3809,7471,2667,0.29721164180841575,3164,18,0,0,0,0.7314912600525063,0
1,1,3,197,62,1838,4,0.9986893328496651,11,1,0,1,1,1.4302003225674,1
0,1,5,271,79,4110,7,0.7477737214837793,16,0,0,1,1,1.6895664562337753,1
0,1,0,335,43,526,25,0.9204125710795077,3,0,0,1,0,1.4119124731600143,1
1,0,3,55,2,1981,18,0.8931998629717047,0,0,0,1,1,1.733987520023047,1
0,1,9,190,45,4725,42,0.7553112762036889,3,0,0,0,0,0.5773874735413997,1
0,0,30,134,17,4884,29,0.705738689931186,10,1,0,1,0,0.7085426544344313,1
0,0,24,359,72,1801,42,0.8265111803659845,12,1,0,0,0,1.828597613120998,1
0,0,53,2716,2460,2386,9832,0.11699150665272039,4006,11,0,0,1,14.235908111170213,0
1,1,40,3397,208,331,7903,0.38679010942141934,160,14,0,0,0,19.79563921026691,0
1,1,98,1081,2138,3961,6003,0.20061822125317794,2571,13,0,0,0,5.795122989034563,0
1,0,0,313,22,2382,44,0.7673807320224654,18,0,0,0,0,1.560425297071267,1
0,0,14,219,22,4257,7,0.762262280861711,14,0,0,1,0,1.545032572158808,1
1,1,45,888,7826,5291,6975,0.12772310921531793,4278,14,0,0,1,10.014053807946386,0
1,1,35,2810,2612,1874,7530,0.4559724223560392,485,7,0,0,1,6.185747006727423,0
1,1,136,721,3126,3104,4014,0.1720072180203227,3646,13,0,0,0,12.589342683525262,0
0,0,7,338,52,4493,24,0.7842803529062142,12,0,0,0,0,0.03127281348238786,1
1,1,62,789,6726,8584,4626,0.17065721194818784,4543,3,1,0,1,16.430674904188113,0
1,0,0,324,70,2762,1,0.9801933922433558,7,0,0,1,0,1.500661551639912,1
1,1,49,61,34,3237,17,0.9088061854161377,2,1,0,1,0,1.495743208184457,1
1,0,47,147,75,4163,42,0.9595887276726738,19,0,0,1,0,1.7428280683817086,1
1,0,0,38,69,3906,19,0.9019276392733651,3,1,0,1,0,1.4759018947951843,1
1,1,102,1129,6316,3829,8062,0.24598287506729008,3022,11,0,0,1,3.030363553177155,0
1,1,44,3218,5831,5883,9851,0.21394107064424547,3588,17,0,0,1,11.83664786548921,0
0,1,0,132,42,1001,25,0.7644749594160157,6,1,0,1,0,0.23295569934667415,1
1,1,78,3400,8818,1932,7700,0.47106981659980773,482,14,0,0,1,11.174424917023892,0
0,0,17,299,26,2369,17,0.7516258097357879,15,0,0,0,0,1.191359648323059,1
0,0,0,91,69,1689,1,0.9699229235226615,19,0,0,1,0,0.9990966704093425,1
1,1,25,202,34,852,6,0.8387868870217949,19,0,0,1,0,1.9752991274721157,1
1,1,66,1431,743,1444,2368,0.29402213238238606,3562,15,0,0,1,9.670625295711929,0
1,1,39,44,8,2968,9,0.9353262574010253,9,0,0,1,0,0.6433399793190973,1
1,0,122,693,8945,13783,5679,0.35921212722208573,170,3,0,0,1,17.90314733206423,0
1,1,0,237,14,3742,28,0.7686394496474867,6,0,0,1,1,1.2487080962675865,1
1,0,47,63,72,3310,18,0.9618261518698383,13,1,0,1,0,0.19306894039088163,1
1,1,121,1435,4860,193,3087,0.4464092762722499,2310,19,0,0,0,8.359255779189077,0
1,0,40,355,85,1887,23,0.7342713777761191,13,0,0,1,0,0.044938616640234796,1
1,1,39,367,6733,11784,1010,0.41917727570132,4281,12,0,0,1,2.721932754168599,0
1,1,148,735,6432,586,7478,0.3982934934725436,3246,16,0,0,0,11.218849966303276,0
1,1,70,732,1202,1582,6461,0.19136358462697545,3688,0,0,0,1,11.92500326537876,0
1,0,7,321,83,4714,27,0.7801757889380786,16,1,0,0,1,1.150710806503112,1
0,1,0,253,2,4200,42,0.9065894887923627,15,0,0,1,0,1.505276588143672,1
0,0,40,30,59,3935,33,0.8152718860412144,2,1,0,1,1,0.1977472352812708,1
1,1,60,545,305,256,1577,0.311122945423532,1777,15,0,0,1,15.390404352476093,0
1,0,11,194,59,643,15,0.7604585134018939,10,1,0,1,0,1.559033402848127,1
0,0,39,242,84,1353,20,0.741053549975907,6,1,0,1,0,0.655767988036517,1
0,0,35,144,59,1997,12,0.9000563263042803,1,0,0,1,0,0.3046591789290709,1
1,1,155,2993,6351,9345,2667,0.2210489140327555,4637,14,0,0,0,12.91234103357268,0
1,1,146,776,3831,627,3096,0.17223848316188944,1411,1,0,0,0,1.6095788697036204,0
1,1,136,1458,234,169,6865,0.23754143021703175,2665,8,0,0,1,15.17184784752961,0
1,1,136,2637,4557,5292,3420,0.3385385989987104,4361,12,0,0,1,11.824741981585353,0
0,0,0,218,16,2915,26,0.9596713660284293,13,1,0,1,0,0.6778895506968974,1
0,1,0,298,39,1344,40,0.8956706059397322,14,0,0,1,0,0.2440148271537781,1
1,0,8,145,36,4928,18,0.791470937315519,17,1,0,0,0,1.560096174080087,1
1,1,40,2864,919,1551,4933,0.22009084461655457,2501,1,0,0,0,16.473707751876482,0
1,1,42,181,70,2655,14,0.9635247589134885,12,1,0,1,0,1.184442798662881,1
1,0,0,62,87,1304,34,0.8773893363123181,2,0,0,1,1,1.6978276485321677,1
1,0,18,191,20,2855,25,0.7381599288062348,1,1,0,0,0,1.6213718559725325,1
